keyword,url,title,description,desc_lang,title_lang
tubecup,www.tubecup.xxx,TubeCup - Free Sex Videos,Watch xxx video on TubeCup.xxx. Free porn movies online!,en,en
akamai,www.akamai.com,Akamai,"Akamai is the leading content delivery network (CDN) services provider for media and software delivery, and cloud security solutions.",en,tl
akamai,vi.wikipedia.org,Akamai Technologies – Wikipedia tiếng Việt,"Khi người dùng điều hướng đến URL của một khách hàng Akamai, trình duyệt của họ sẽ được chuyển hướng đến một bản sao trang web đó trên Akamai.
  ·  

Tên giao dịch:  
Số lượng nhân viên:  
Loại trang web:  
Trụ sở: ",vi,vi
akamai,en.wikipedia.org,Akamai Technologies - Wikipedia,"Akamai Technologies, Inc. is a global content delivery network (CDN), cybersecurity, and cloud service company, providing web and Internet security services.

Net income:  
Number of employees:  
Industry:  
Operating income: ",en,lt
zapps,en.wikipedia.org,Zapp's - Wikipedia,"Zapp's is a brand of potato chip made in the United States. The chips are cooked and packaged in Gramercy, Louisiana. The chips are kettle-cooked in peanut ...

Founded:  
Headquarters:  
Founder:  
Parent: ",en,sw
linkedin,www.linkedin.com,LinkedIn,"675 million+ members | Manage your professional identity. Build and engage with your professional network. Access knowledge, insights and opportunities.",en,lt
linkedin,vi.wikipedia.org,LinkedIn – Wikipedia tiếng Việt,"Nhà sáng lập/CEO trước đây của LinkedIn Reid Hoffman hiện nắm chức Chủ tịch Hội đồng quản trị. Công ty được tài trợ bởi Sequoia Capital, Greylock, liên ...

Số người sử dụng:  
Số lượng nhân viên:  
Doanh thu sau thuế và khấu trừ:  
Loại trang web: ",vi,vi
jivox,www.jivox.com,Jivox,Deliver a relevant message consistently across all channels in real time. Serving dynamically created ads personalized to individual ...,en,cs
ali,www.aliexpress.com,"AliExpress - Online Shopping for Popular Electronics, Fashion ...","Online shopping for the latest electronics, fashion, phone accessories, computer electronics, toys, home&garden, home appliances, tools, home improvement ...",en,en
ali,vi.wikipedia.org,Muhammad Ali – Wikipedia tiếng Việt,"Ali sinh ra và lớn lên tại Louisville, Kentucky và bắt đầu tập luyện boxing nghiệp dư từ năm 12 tuổi. Lúc 18, ông thắng huy chương vàng trong giải hạng nhẹ tại ...
  ·  

Sải tay:  
Thua:  
Tổng số trận:  
Tư thế: ",vi,vi
ali,vi.wikipedia.org,Alì – Wikipedia tiếng Việt,"Alì là một đô thị ở tỉnh Messina trong vùng Sicilia của Italia, có vị trí cách khoảng 180 km về phía đông của Palermo và vào khoảng 20 km về phía tây nam của ...",vi,vi
ali,www.alibabacloud.com,Empower Your Business in USA & Canada with Alibaba Cloud's ...,"Alibaba Cloud offers integrated suite of cloud products and services to businesses in America, to help to digitalize by providing scalable, secure and reliable ...",en,en
ali,alienlibertyinternational.com,ALI BAND,ALI BAND。東京 渋谷出身の多国籍HIP-HOP/FUNK BAND メンバー ...,ja,tl
mookie1,www.mookie1.com,The Media Innovation Group is no longer operational.,The Media Innovation Group is no longer operational.,en,en
grabpay,www.grab.com,Hướng dẫn sử dụng GrabPay dành cho người dùng mới | Grab VN,"Những lúc này, phải chi bạn đăng ký thanh toán chuyến đi bằng thẻ – GrabPay của Grab (áp dụng cho thẻ ...Thời lượng: 0:16
Đã đăng: 28 thg 2, 2017",vi,vi
grabpay,www.grab.com,Thanh toan khong tien mat voi Vi dien tu Moca tren ung dung Grab ...,"Không còn lo ngại phải giữ tiền mặt trong người hay lục tìm tiền lẻ! Với Ví điện tử Moca trên ứng dụng Grab, mọi giao dịch của bạn sẽ được thực hiện tự động, ...",vi,vi
grabpay,www.grab.com,Grab ra mắt phương thức thanh toán GrabPay by Moca| Grab VN,"Thanh toán trực tiếp bằng thẻ tín dụng, thẻ ghi nợ quốc tế (Credit/ Debit VISA/ MasterCard/ Amex/ JCB) khi liên kết với tài khoản GrabPay by ...",vi,vi
javforme,javforme.ninja,Vietnam sex videos | JAVforME,Enjoy our list of vietnam sex videos. Find more JAV Porn and Asian XXX at JAVforME.ninja tube.,en,sv
javforme,javforme.ninja,"JAVforME - japanese porn tube, asian sex videos",Find and watch your favourite JAV Porn at JAVforME tube. We have the greatest archive (updates every day) of hot japanese sex videos and asian porn.,en,es
javforme,javforme.ninja,Việt nam | JAVforME,Watch việt nam fuck video. Enjoy more Free JAV and asian Porn at JAVforME. ninja tube.,en,vi
javforme,javforme.ninja,Vn sex videos | JAVforME,Enjoy our list of vn sex videos. Find more JAV Porn and Asian XXX at JAVforME. ninja tube.,en,es
garena,www.garena.vn,Garena,"Garena eSports. Đấu trường của danh vọng. Điểm đến của đam mê, khởi đầu của huyền thoại. Garena Platforms. Nền tảng game đa dụng - Kết nối mọi game ...
  ·   ·   · ",vi,sv
garena,account.garena.com,Đăng nhập - Garena Account Center,"Đăng nhập. Afghanistan (افغانستان), Albania (Shqipëria), Algeria (الجزائر), American Samoa, Andorra, Angola, Anguilla, Antigua and Barbuda, Argentina ...",tl,vi
garena,vi.wikipedia.org,Garena – Wikipedia tiếng Việt,"Nó được thành lập tại Singapore vào năm 2009, bởi Chủ tịch và Giám đốc điều hành hiện tại của Tập đoàn, Forrest Li. Công ty mẹ của Garena là Sea Limited, ...

Nhân viên chủ chốt:  
Trụ sở chính:  
Sản phẩm:  
Loại hình: ",vi,vi
bepthaiha,bepthaiha.com,Bếp Thái Hà,"Bếp Thái Hà chuyên cung cấp thiết bị nhà bếp nhập khẩu như: bếp từ, bếp điện từ, máy hút mùi, máy rửa bát, lò nướng, vòi chậu, phụ kiện nhà bếp...",vi,vi
livechatinc,my.livechatinc.com,LiveChat - live chat and help desk for websites,LiveChat – online chat and help desk software for websites. Use LiveChat to quickly handle customer service. Sign up and try LiveChat for free for 14 days!,en,en
livechatinc,my.livechatinc.com,Chats - LiveChat,LiveChat – online chat and help desk software for websites. Use LiveChat to quickly handle customer service. Sign up and try LiveChat for free for 14 days!,en,en
livechatinc,www.livechat.com,LiveChat | Live Chat Software and Chat Support Software,"Copyright © 2020 LiveChat, Inc. All rights reserved. We use Cookies. Click to learn more →. LiveChat – customer service for business: best live chat software to ...",en,en
livechatinc,www.livechat.com,Security - LiveChat,"... safety measures concerning all products provided by LiveChat, Inc., namely: ... us via support@livechatinc.com (or via support e-mail of the Service you use), ...",en,en
everviz,www.everviz.com,everviz,"Journalist? Researcher? Or Content creator? Sharing your data through attractive, interactive charts/maps is now simpler than ever. Try for Free Try for Free.",en,sl
dantri,dantri.com.vn,Dân trí,"Đọc báo dantri - Tin tức mới nhất, Thông tin nhanh chính xác được cập nhật hàng giờ. báo nói đọc tin tức online Việt Nam Thế giới nóng nhất trong ngày, Kinh ...",vi,vi
shopeemobile,wms.shopeemobile.com,Shopee WMS | Login,WMS. Welcome to Shopee WMS. remember. Login Login with Google account forgot password? Shopee WMS© 2017.,en,en
shopeemobile,insight.idata.shopeemobile.com,insight,"Query Builder Filter, preview, download, and event divert query results directly to your inbox on a regular basis using the built-in job scheduler. Campaign ...",en,en
weather,weather.com,"National and Local Weather Radar, Daily Forecast, Hurricane and ...","The Weather Channel and weather.com provide a national and local weather forecast for cities, as well as weather radar, report and hurricane coverage.
  ·   ·   · ",en,en
weather,www.accuweather.com,"Hanoi, Hanoi, Vietnam Today, Tonight & Tomorrow's Weather Forecast","Get the forecast for today, tonight & tomorrow's weather for Hanoi, Hanoi, Vietnam. Hi/Low, RealFeel®, precip, radar, & everything you need to be ready for the ...",en,en
weather,www.weather-forecast.com,Hanoi Weather Forecast,"12 day Hanoi Weather Forecast. Live Weather Warnings, hourly weather updates . Accurate Hanoi weather today, forecast for sun, rain, wind and temperature.",en,en
weather,www.theweathernetwork.com,"Hanoi, Vietnam 7 Day Weather Forecast - The Weather Network","Find the most current and reliable 7 day weather forecasts, storm alerts, reports and information for [city] with The Weather Network.",en,en
weather,www.weather-atlas.com,"Hanoi, Vietnam - Detailed weather forecast, long range monthly ...","The climate of Hanoi is a humid subtropical one, and it is humid all year through, with four distinct seasons. During summer, from May to August, most days are hot  ...",en,en
igg,igg-games.com,IGG Games,"Free download crack games via torrent or direct links. We upload the latest games every day from CODEX, RELOADED, SKIDROW, CPY, P2P, ...
  ·   ·   · ",en,ca
igg,www.igg.com,I GOT GAMES - Global Free Online Games Portal,Your portal to IGG's games.,en,en
igg,www.igg.com,mobile games - IGG.com,"Real-Time Strategy & RPG in One! Lords Mobile combines the best parts of RPG and strategy games into an all-new experience! Build an empire, train an army, ...",en,fr
igg,en.wikipedia.org,IGG Inc. - Wikipedia,"IGG Inc. (799.HK) was founded on June 6, 2006 in Fuzhou, Fujian. With its headquarters located in Singapore, IGG branches are also located in other various ...

Products:  
Headquarters:  
Net income:  
Revenue: ",en,id
mgid,www.mgid.com,MGID ᐈ Native Advertising Platform,"【MGID】- Native Advertising Platform ✅ Native monetization for publishers ✅ Visitors acquiring for advertisers ✅ 850 million unique readers with 185 billion ...
  ·   ·   · ",en,en
mgid,mgidvietnam.com,MGID Việt Nam - Kiếm tiền với quảng cáo MGID - Native Advertising ...,Kiếm tiền với quảng cáo MGID - Native Advertising Marketplace.,vi,vi
cootek,www.cootek.com,CooTek,"Visit the official CooTek site to find the most innovative utility, lifestyle, healthcare, and gaming apps. Express yourself and enjoy relevant content seamlessly.",en,nl
wesingapp,wesingapp.com,WeSing,"The world's first social karaoke application between friends, with features like group song practice mode and friends PK sessions. You can also interact with ...",en,de
news-host,en.wikipedia.org,News presenter - Wikipedia,"The terms anchor and anchorman are derived from the ... The widespread claim that news anchors were ...
  · ",en,en
news-host,en.wikipedia.org,List of news presenters - Wikipedia,"American news anchors[edit] · Roz Abrams, formerly of CBS News, ABC's Eyewitness News · Christiane Amanpour, ...
  ·   · ",en,en
mnewsvn,mnewsvn.com,Mnewsvn.Com,"Mnewsvn.Com - Trang tổng hợp tin tức giải trí xã hội Việt Nam và Quốc Tế với nhiều lĩnh vực : showbiz, đời sống xã hội, giới trẻ, tình yêu hôn nhân gia đình.......",vi,en
blackberry,thegioiblackberry.com.vn,"Điện thoại BlackBerry Android, BlackBerry Os chính hãng, giá rẻ","Thế giới BlackBerry cung cấp điện thoại BlackBerry mới và qua sử dụng, các dòng điện thoại BlackBerry mói nhất, độc nhất. Cung cấp phụ kiện BlackBerry ...",vi,vi
blackberry,blackberryhanoi.vn,"Blackberry HaNoi chuyên cung cấp điện thoại, link phụ kiện điện ...","Blackberry HaNoi chuyên cung cấp điện thoại, link phụ kiện điện thoại về Blackberry - Thế giới Blackberry.",vi,vi
inmobi,www.inmobi.com,InMobi,InMobi is the world's leading Marketing Cloud. Our mobile data and technology platforms help global brands understand and engage connected consumers.,en,hr
inmobi,en.wikipedia.org,InMobi - Wikipedia,"InMobi is an Indian global mobile advertising technology company based out of Bangalore, India. Its mobile-first platform allows brands, developers and ...

Headquarters:  
Products:  
Industry:  
Key people: ",en,sw
trafficfactory,www.trafficfactory.com,Traffic Factory,... in WordPress for more information. (This message was added in version 3.3.0.) in /home/wpn/www.trafficfactory.com/public_html/wp-includes/functions.php on ...,en,en
trafficfactory,main.trafficfactory.biz,[PDF] Làm sao đ bt đu qung cáo trên trafficfactory.com,"trafficfactory.com. TUTORIAL. Đăng nhập vào tài khoản của bạn tại đây. *Nếu bạn không nhớ mật khẩu, hãy nhấp vào “Quên mật khẩu” và thực hiện theo quy ...",vi,vi
google,www.google.com.vn,Google,Nghệ thuật và văn hóa · Google Ads · Podcasts · Sản phẩm khác của Google. Google. BÁO CÁO THÔNG TIN NÀY. HỦY. OK. XÓA. Cài đặtCài đặt tìm kiếmTìm  ...,vi,so
google,translate.google.com,Google Dịch,"Dịch vụ miễn phí của Google dịch nhanh các từ, cụm từ và trang web giữa tiếng Việt và hơn 100 ngôn ngữ khác.",vi,vi
google,www.google.com.co,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",en,so
google,myaccount.google.com,Tài khoản Google,"Khi đăng nhập vào Tài khoản Google, bạn có thể xem và quản lý thông tin, hoạt động, các tùy chọn bảo mật, và các tùy chọn quyền riêng tư của mình để giúp ...",vi,vi
google,myactivity.google.com,Welcome to My Activity - Google,"Data helps make Google services more useful for you. Sign in to review and manage your activity, including things you've searched for, websites you've visited, ...",en,en
google,adssettings.google.com,Sign in - Google Accounts - Google Ads Settings,Use your Google Account. Email or phone. Forgot email? Type the text you hear or see. Not your computer? Use Guest mode to sign in privately. Learn more.,en,en
google,ads.google.com,Thu hút nhiều khách hàng hơn bằng giải pháp quảng ... - Google Ads,Phát triển doanh nghiệp của bạn thông qua Google Ads. Hiển thị quảng cáo ...,vi,vi
google,support.google.com,Google Trợ giúp,"Để bảo vệ sức khỏe cho các chuyên viên hỗ trợ trước tình hình dịch COVID- 19, ...",vi,vi
google,developers.google.com,Google Developers,Everything you need to build better apps.,en,nl
google,play.google.com,Google - Apps on Google Play,"      The Google app keeps you in the know about things that matter to you. Find quick answers, explore your interests, and stay up to date with Discover. The more ...",en,en
glpals,gllto.glpals.com,origin-lto.glpals.com 1000 true 2day/2018-03-19/16:03:31/svstatus ...,"origin-lto.glpals.com 1000 true 2day/2018-03-19/16:03:31/svstatus.txt 2018-03- 22T18:05:19.000Z ""d41d8cd98f00b204e9800998ecf8427e"" 0 STANDARD ...",en,it
googletagmanager,developers.google.com,Google Tag Manager | Google Developers,"Use Google Tag Manager to manage tags (such as measurement and marketing optimization JavaScript tags) on your site. Without editing your site code, you ...",en,da
googletagmanager,marketingplatform.google.com,Website Tag Management Tools & Solutions - Google Tag Manager,Google Tag Manager helps make website tag management simple with tools & solutions that allow small businesses to deploy and edit tags all in one place.,en,en
googletagmanager,support.google.com,Tag Manager overview - Tag Manager Help - Google Support,Google Tag Manager is a tag management system (TMS) that allows you to quickly and easily update measurement codes and related code fragments ...,en,en
googletagmanager,analytics.google.com,Google Analytics,"Google Analytics lets you measure your advertising ROI as well as track your Flash, video, and social networking sites and applications.",en,en
flurry,www.flurry.com,Flurry - Mobile App Analytics Platform for Android & iOS,"Flurry is a mobile app analytics platform that empowers product, development and growth experts to build better apps that users love.
  ·   ·   · ",en,en
flurry,www.flurry.com,Free Mobile App Analytics - Flurry,Flurry is the only professional-grade app analytics solution that's completely free. We surface the insights that power app growth.,en,en
flurry,login.flurry.com,Flurry - Login,Visit our secure login page to access your Flurry account.,en,en
eclick,eclick.vn,eClick,"eClick sở hữu các giải pháp truyền thông tổng thể, tiếp cận hàng triệu người dùng trên hệ thống Publisher độc quyền hàng đầu Việt Nam.",vi,de
tapjoy,www.tapjoy.com,Tapjoy,We connect advertisers with their ideal audience in the world's most popular mobile games and apps. Learn how Tapjoy is revolutionizing the mobile industry.,en,sw
ehawk,ehawk.net,E-Hawk,"Block fraud sign-ups, fake leads, spammers, phishers, and account takeovers.
  ·   ·   · ",en,so
ehawk,ehawksolutions.com,eHawk Solutions,ABOUT EHAWK SOLUTIONS. RePath is an advanced monitoring platform that leverages the power of the internet and smartphone technology with our proprietary ...,en,en
ehawk,www.ehawk.in,Ehawk Security Systems,Ehawk Security Systems.,en,en
ehawk,www.ehawk.in,All Products | Ehawk Security Systems,"MCU, Modules And Robotics · Analog Cameras · AHD Cameras · Antennas · Network IP Cameras · Accessories · PTZ Cameraz · Digital Video Recorders.",en,en
aliyun,m.aliyun.com,阿里云- 上云就上阿里云- 触屏版,"... src=\""https://www.aliyun.com/tms-lego/common/m/topbar?nonce= NONCE_PLACEHOLDER\""></script>""}],""styles"":[],""javascripts"":[],""countinfo"":{"" javascripts"":{} ...",ca,ko
aliyun,cn.aliyun.com,阿里云-上云就上阿里云,230万用户正享用阿里云提供的云服务器、云数据库、云存储、CDN、大数据等服务，7x24小时售后支持，专业快速备案，助企业无忧上云。,zh-cn,ko
aliyun,homenew.console.aliyun.com,Aliyun,Aliyun. Login. Sign In. Account: Forgot Password? Password: Verification: Refresh. Don't have an account? Register Now · Sign In as RAM User.,en,sw
aliyun,en.wikipedia.org,Alibaba Cloud - Wikipedia,"Alibaba Cloud also known as Aliyun, is a Chinese cloud computing company, a subsidiary of Alibaba Group. Alibaba Cloud provides cloud computing services ...",en,sw
samsungfeed,bixbyhome.samsungfeed.com,Bixby Home Partner Portal,Bixby Home Partner Portal helps you create and manage Bixby Home cards. Sign in. SAMSUNG Copyright 2019 SAMSUNG All Rights Reserved.,en,en
zingplay,play.zing.vn,Zing Play,"Cổng game giải trí ZingPlay. Chơi ngay các game đánh bài:Sâm lốc, Tiến lên, Tá lả, Mậu binh, Xì tố, Poker Texas… và các game cờ: Cờ tướng, Cờ caro… trên ...",vi,tl
zingplay,zingplay.com,Cổng game giải trí ZingPlay: Trang chủ,"Cổng game giải trí ZingPlay - game cho tất cả mọi người. Bất kể bạn là ai, luôn có game dành cho bạn.",vi,vi
myclip,myclip.vn,Myclip,MXH MyClip là Mạng xã hội video clip đầu tiên hàng đầu tại Việt Nam. Dịch vụ cũng là MXH đầu tiên tại Việt Nam miễn phí Data 3G cho khách hàng sử dụng.,vi,ca
sentry,sentry.io,Sentry,"Self-hosted and cloud-based error monitoring that helps software teams discover, triage, and prioritize errors in real-time.",en,en
oppomobile,www.oppo.com,Điện thoại thông minh OPPO và phụ kiện | OPPO Toàn cầu,"Tặng đến 800.000 đ & 0% trả góp. Áp dụng tuỳ phiên bản OPPO Watch. Chỉ còn từ 5.390.000 đ. Mua ngay. OPPO Reno4. Tôi nổi bật, tạo khác biệt! Tìm Hiểu ...
  ·   ·   · ",vi,vi
oppomobile,support.oppomobile.vn,Trang hỗ trợ - OPPO Việt Nam | Điện thoại thông minh OPPO ...,"Công Ty smartphone OPPO mobile Việt Nam | Cùng khám các sản phẩm Điện thoại thông minh | Smartphone | Camera Phone cùng trải nghiệm selfie tuyệt vời.
  ·   ·   · ",vi,vi
oppomobile,support.oppomobile.vn,Kiểm tra imei - OPPO Việt Nam | Điện thoại thông minh OPPO ...,Công Ty smartphone OPPO mobile Việt Nam | Cùng khám các sản phẩm Điện thoại thông minh | Smartphone | Camera Phone cùng trải nghiệm selfie tuyệt vời.,vi,vi
oppomobile,shop.oppomobile.vn,OPPO Online Shop,Phụ kiện · Khuyến mãi · Mua trực tuyến · Cửa hàng trải nghiệm · Hỗ trợ. Diễn đàn · FAQ · Reno4. OPPO Watch. OPPO A53. Reno4. OPPO Watch. OPPO A53.,vi,en
oppomobile,support.oppomobile.vn,Khu vực tải Rom - Hỗ trợ - Oppo,Công Ty smartphone OPPO mobile Việt Nam | Cùng khám các sản phẩm Điện thoại thông minh | Smartphone | Camera Phone cùng trải nghiệm selfie tuyệt vời.,vi,vi
swypeconnect,en.wikipedia.org,Swype - Wikipedia,"Swype was a virtual keyboard for touchscreen smartphones and tablets originally developed by Swype Inc., founded in 2002, where the user enters words by ...

Initial release:  
Stable release:  
Developer(s):  
License: ",en,sw
ucweb,www.ucweb.com,"UC Browser - Fast video downloader,20GB free cloud storage ...","english, Русский, Français, Indonesian, Português, Español, Tiếng Việt, हिन्दी, العربية, বাংলা, ภาษาไทย, اردو. UCWeb Inc. All rights Reserved.
  ·   ·   · ",en,en
ucweb,en.wikipedia.org,UCWeb - Wikipedia,"UCWeb Inc is a Chinese mobile Internet company that offers products and services including mobile browser, UC News, and search. Its flagship product, UC ...

Founder:  
Headquarters:  
Products:  
Parent: ",en,sw
ucweb,vi.wikipedia.org,UC Browser – Wikipedia tiếng Việt,"UCWeb thay đổi trình duyệt của mình cho phù hợp với khách hàng Ấn Độ của Vodafone indiaVodafone vào tháng 5 năm 2013. Vào tháng 5 năm 2013, UCWeb  ...",vi,vi
twitter,twitter.com,Twitter,Tham gia Twitter ngay hôm nay. Đăng ký Đăng nhập. Created with Sketch. Theo dõi những sở thích của bạn. Nghe nội dung mọi người đang bàn luận.,vi,en
twitter,vi.wikipedia.org,Twitter – Wikipedia tiếng Việt,"Trụ sở của Twitter được đặt ở San Francisco và có hơn 35 văn phòng khắp thế giới. Giới hạn về độ dài của tin nhắn, 280 ký tự, có tính tương thích với tin SMS (  ...

Người sáng lập:  
Thành lập:  
Chủ sở hữu:  
Nhân viên chủ chốt: ",vi,vi
baomoi,baomoi.com,BAOMOI.COM,Báo Mới - Trang tin tự động cập nhật các tin tức Việt Nam và thế giới từ các báo và trang tin điện tử hàng đầu.,vi,en
baomoi,baomoi.com.vn,Báo mới - Cập nhật tin tức mới 24h trong ngày,"Báo mới chuyên cập nhật tin tức 24h nóng nhất. Tin mới và nóng nhất về pháp luật, thể thao, đời sống, xã hội, gia đình.",vi,vi
applovin,www.applovin.com,AppLovin,AppLovin is a mobile games company that fuels many of the world's most popular mobile games through its game studios and marketing technology.,en,sl
applovin,en.wikipedia.org,AppLovin - Wikipedia,"AppLovin is a mobile marketing platform. The company was founded in 2012, but operated in stealth mode until 2014. AppLovin is headquartered in Palo Alto, ...

Headquarters:  
Industry:  
Key people:  
Revenue: ",en,id
viber,www.viber.com,Tải về | Viber,"Viber cho thiết bị để bàn được đồng bộ với tài khoản di động của bạn. Để kích hoạt Viber cho thiết bị để bàn, bạn cần một tài khoản Viber đang hoạt động trên ...",vi,vi
viber,account.viber.com,Đăng nhập - Viber Out | Ứng dụng gọi quốc tế,"Viber Out là nhà cung cấp dịch vụ VOIP. Đăng ký và gọi điện thoại cho bạn bè và gia đình trên bất kỳ số cố định hoặc di động nào bằng tín dụng Viber, đăng ký ...
  ·   ·   · ",vi,vi
viber,vi.wikipedia.org,Viber – Wikipedia tiếng Việt,"Rakuten Viber (Thuộc Rakuten Inc.) Phát hành lần đầu, 2 tháng 12 năm 2010. Bản xem thử. Blackberry OS (beta) 2.2.14 ...",vi,vi
luatvietnam,luatvietnam.vn,LuatVietNam,"Tra cứu Văn bản Quy phạm pháp luật Mới và Đầy đủ nhất tại thư viện văn bản Luật Việt Nam: Văn bản pháp luật mới ban hành, Điều luật, Chỉ thị, Điều ước ...",vi,it
luatvietnam,luatvietnam.net,LuatVietnam |,"luatvietnam.net, luatviet, Datasoft, luatvietnam, vietnamlaw,giải đáp, giai dap, phap luat, hoi dap, vbpl, van ban phap luat.",id,lv
tuoitre,tuoitre.vn,Tuổi Trẻ Online,"Tin tức nhanh - mới - nóng nhất đang diễn ra về: kinh tế, chính trị, xã hội, thế giới, giáo dục, thể thao, văn hóa, giải trí, công nghệ.",vi,vi
xhamster,xhamster.com,Free Porn Videos & Sex Tube Movies at xHamster,"Watch & download more than 5 million Porn Videos on xHamster for free. Stream new XXX tube movies online, browse sex photos, date girls to fuck at ...",en,en
xhamster,es.xhamster.desi,Vídeos y Películas Porno Gratis en xHamster,"Mira y descarga más de 5 millones de Vídeos Porno en xHamster de forma gratuita. ¡Transmite nuevas películas XXX en línea, navega por fotos de sexo, sale ...",es,es
xhamster,xhamster.tv,xHamster TV - xHamster TV Free Porn Videos,xHamster.com is the best amateur porn tube site online with heaps of daily added homemade sex videos daily. Besides crystal clear HD XXX movies xHamster ...,en,nl
xhamster,sexhamster.pro,Sex Hamster - Sex Tube Movies & Free Porn Videos,10 inch cock · 18 years · 19 years · 3d animation · 3some · 9 months pregnant. A. abuse porn · adorable girls · adult content · african porn · agent cheating ...,en,en
xhamster,xhamster.xxx,xHamster Free German Porn Videos - xHamster.com,xHamster - the biggest free porn tube offering German xxx videos in 1080p and 720p HD quality. 10 millions of sex movies & 10000 fresh vids added daily.,en,en
pnghst,www.pnghs.school.nz,Palmerston North Girls' High School,"About PNGHS. Palmerston North Girls' High School provides an outstanding education for young women from Palmerston North, the wider Manawatū region and ...",en,en
pnghst,en.wikipedia.org,Palmerston North Girls' High School - Wikipedia,"Palmerston North Girls' High School is a secondary school for girls, located in the suburb of West End in the city of Palmerston North, New Zealand.

School roll:  
Socio-economic decile:  
Motto:  
Established: ",en,en
ntp,vi.wikipedia.org,NTP – Wikipedia tiếng Việt,"NTP (Network Time Protocol - Giao thức đồng bộ thời gian mạng) là một giao thức để đồng bộ đồng hồ của các hệ thống máy tính thông qua mạng dữ liệu ...
  ·   ·   · ",vi,vi
ntp,www.ntp.org,ntp.org: Home of the Network Time Protocol,"The Network Time Protocol (NTP) is used to synchronize the time of a computer client or server to another server or reference time source, such as a radio or ...",en,en
jquery,jquery.com,jQuery,"jQuery: The Write Less, Do More, JavaScript Library.
  ·   ·   · ",en,es
jquery,vi.wikipedia.org,jQuery – Wikipedia tiếng Việt,"jQuery. Bách khoa toàn thư mở Wikipedia. Bước tới điều hướng Bước tới tìm kiếm. jQuery ...

Viết bằng:  
Thiết kế bởi:  
Phát hành lần đầu:  
Thể loại: ",vi,vi
jquery,en.wikipedia.org,jQuery - Wikipedia,"jQuery is a JavaScript library designed to simplify HTML DOM tree traversal and manipulation, as well as event handling, CSS animation, and Ajax. It is free ...

Stable release:  
Size:  
License:  
Initial release: ",en,sw
jquery,jqueryui.com,jQuery UI,"jQuery UI is a curated set of user interface interactions, effects, widgets, and themes built on top of the jQuery JavaScript Library. Whether you're building highly ...",en,en
flipboard,flipboard.com,Flipboard,"Flipboard curates the world's stories so you can focus on investing in yourself, staying informed, and getting involved. With curated packages that offer insights ...",en,ro
flipboard,en.wikipedia.org,Flipboard - Wikipedia,"Flipboard is a news aggregator and social network aggregation company based in Palo Alto, California, with offices in New York, Vancouver and Bejiing.

Developer(s):  
Initial release:  
Operating system: ",en,sw
