keyword,url,title,description,desc_lang,title_lang,web_title,web_title_lang
livechatinc,www.livechat.com,Security - LiveChat,"... safety measures concerning all products provided by LiveChat, Inc., namely: ... us via support@livechatinc.com (or via support e-mail of the Service you use), ...",en,en,LiveChat – live chat and help desk for websites,en
everviz,www.everviz.com,everviz,"Journalist? Researcher? Or Content creator? Sharing your data through attractive, interactive charts/maps is now simpler than ever. Try for Free Try for Free.",en,sl,everviz,sl
dantri,dantri.com.vn,Dân trí,"Đọc báo dantri - Tin tức mới nhất, Thông tin nhanh chính xác được cập nhật hàng giờ. báo nói đọc tin tức online Việt Nam Thế giới nóng nhất trong ngày, Kinh ...",vi,vi,"Tin tức Việt Nam và quốc tế nóng, nhanh, cập nhật 24h | Báo Dân trí",vi
shopeemobile,wms.shopeemobile.com,Shopee WMS | Login,WMS. Welcome to Shopee WMS. remember. Login Login with Google account forgot password? Shopee WMS© 2017.,en,en,Shopee WMS | Login,en
shopeemobile,wms.shopeemobile.com,Shopee WMS | Login,WMS. Welcome to Shopee WMS. remember. Login Login with Google account forgot password? Shopee WMS© 2017.,en,en,insight,en
shopeemobile,insight.idata.shopeemobile.com,insight,"Query Builder Filter, preview, download, and event divert query results directly to your inbox on a regular basis using the built-in job scheduler. Campaign ...",en,en,Shopee WMS | Login,en
shopeemobile,insight.idata.shopeemobile.com,insight,"Query Builder Filter, preview, download, and event divert query results directly to your inbox on a regular basis using the built-in job scheduler. Campaign ...",en,en,insight,en
weather,weather.com,"National and Local Weather Radar, Daily Forecast, Hurricane and ...","The Weather Channel and weather.com provide a national and local weather forecast for cities, as well as weather radar, report and hurricane coverage.
  ·   ·   · ",en,en,"National and Local Weather Radar, Daily Forecast, Hurricane and information from The Weather Channel and weather.com",en
weather,www.accuweather.com,"Hanoi, Hanoi, Vietnam Today, Tonight & Tomorrow's Weather Forecast","Get the forecast for today, tonight & tomorrow's weather for Hanoi, Hanoi, Vietnam. Hi/Low, RealFeel®, precip, radar, & everything you need to be ready for the ...",en,en,"National and Local Weather Radar, Daily Forecast, Hurricane and information from The Weather Channel and weather.com",en
weather,www.weather-forecast.com,Hanoi Weather Forecast,"12 day Hanoi Weather Forecast. Live Weather Warnings, hourly weather updates . Accurate Hanoi weather today, forecast for sun, rain, wind and temperature.",en,en,"National and Local Weather Radar, Daily Forecast, Hurricane and information from The Weather Channel and weather.com",en
weather,www.theweathernetwork.com,"Hanoi, Vietnam 7 Day Weather Forecast - The Weather Network","Find the most current and reliable 7 day weather forecasts, storm alerts, reports and information for [city] with The Weather Network.",en,en,"National and Local Weather Radar, Daily Forecast, Hurricane and information from The Weather Channel and weather.com",en
weather,www.weather-atlas.com,"Hanoi, Vietnam - Detailed weather forecast, long range monthly ...","The climate of Hanoi is a humid subtropical one, and it is humid all year through, with four distinct seasons. During summer, from May to August, most days are hot  ...",en,en,"National and Local Weather Radar, Daily Forecast, Hurricane and information from The Weather Channel and weather.com",en
igg,igg-games.com,IGG Games,"Free download crack games via torrent or direct links. We upload the latest games every day from CODEX, RELOADED, SKIDROW, CPY, P2P, ...
  ·   ·   · ",en,ca,I GOT GAMES - Global Free Online Games Portal,en
igg,www.igg.com,I GOT GAMES - Global Free Online Games Portal,Your portal to IGG's games.,en,en,I GOT GAMES - Global Free Online Games Portal,en
igg,www.igg.com,mobile games - IGG.com,"Real-Time Strategy & RPG in One! Lords Mobile combines the best parts of RPG and strategy games into an all-new experience! Build an empire, train an army, ...",en,fr,I GOT GAMES - Global Free Online Games Portal,en
igg,en.wikipedia.org,IGG Inc. - Wikipedia,"IGG Inc. (799.HK) was founded on June 6, 2006 in Fuzhou, Fujian. With its headquarters located in Singapore, IGG branches are also located in other various ...

Products:  
Headquarters:  
Net income:  
Revenue: ",en,id,I GOT GAMES - Global Free Online Games Portal,en
mgid,www.mgid.com,MGID ᐈ Native Advertising Platform,"【MGID】- Native Advertising Platform ✅ Native monetization for publishers ✅ Visitors acquiring for advertisers ✅ 850 million unique readers with 185 billion ...
  ·   ·   · ",en,en,MGID ᐈ Native Advertising Platform,en
mgid,mgidvietnam.com,MGID Việt Nam - Kiếm tiền với quảng cáo MGID - Native Advertising ...,Kiếm tiền với quảng cáo MGID - Native Advertising Marketplace.,vi,vi,MGID ᐈ Native Advertising Platform,en
cootek,www.cootek.com,CooTek,"Visit the official CooTek site to find the most innovative utility, lifestyle, healthcare, and gaming apps. Express yourself and enjoy relevant content seamlessly.",en,nl,CooTek – Best Mobile Apps,en
wesingapp,wesingapp.com,WeSing,"The world's first social karaoke application between friends, with features like group song practice mode and friends PK sessions. You can also interact with ...",en,de,WeSing,de
mnewsvn,mnewsvn.com,Mnewsvn.Com,"Mnewsvn.Com - Trang tổng hợp tin tức giải trí xã hội Việt Nam và Quốc Tế với nhiều lĩnh vực : showbiz, đời sống xã hội, giới trẻ, tình yêu hôn nhân gia đình.......",vi,en,Mnewsvn.com - Trang thông tin Giải Trí - Showbiz - Đời sống - Xã Hội - Mnewsvn.Com,vi
inmobi,www.inmobi.com,InMobi,InMobi is the world's leading Marketing Cloud. Our mobile data and technology platforms help global brands understand and engage connected consumers.,en,hr,InMobi | Driving Real Connections,en
inmobi,en.wikipedia.org,InMobi - Wikipedia,"InMobi is an Indian global mobile advertising technology company based out of Bangalore, India. Its mobile-first platform allows brands, developers and ...

Headquarters:  
Products:  
Industry:  
Key people: ",en,sw,InMobi | Driving Real Connections,en
trafficfactory,www.trafficfactory.com,Traffic Factory,... in WordPress for more information. (This message was added in version 3.3.0.) in /home/wpn/www.trafficfactory.com/public_html/wp-includes/functions.php on ...,en,en,"    Log In
 | Traffic Factory",en
trafficfactory,www.trafficfactory.com,Traffic Factory,... in WordPress for more information. (This message was added in version 3.3.0.) in /home/wpn/www.trafficfactory.com/public_html/wp-includes/functions.php on ...,en,en,,
trafficfactory,main.trafficfactory.biz,[PDF] Làm sao đ bt đu qung cáo trên trafficfactory.com,"trafficfactory.com. TUTORIAL. Đăng nhập vào tài khoản của bạn tại đây. *Nếu bạn không nhớ mật khẩu, hãy nhấp vào “Quên mật khẩu” và thực hiện theo quy ...",vi,vi,"    Log In
 | Traffic Factory",en
trafficfactory,main.trafficfactory.biz,[PDF] Làm sao đ bt đu qung cáo trên trafficfactory.com,"trafficfactory.com. TUTORIAL. Đăng nhập vào tài khoản của bạn tại đây. *Nếu bạn không nhớ mật khẩu, hãy nhấp vào “Quên mật khẩu” và thực hiện theo quy ...",vi,vi,,
google,www.google.com.vn,Google,Nghệ thuật và văn hóa · Google Ads · Podcasts · Sản phẩm khác của Google. Google. BÁO CÁO THÔNG TIN NÀY. HỦY. OK. XÓA. Cài đặtCài đặt tìm kiếmTìm  ...,vi,so,Google Analytics,en
google,www.google.com.vn,Google,Nghệ thuật và văn hóa · Google Ads · Podcasts · Sản phẩm khác của Google. Google. BÁO CÁO THÔNG TIN NÀY. HỦY. OK. XÓA. Cài đặtCài đặt tìm kiếmTìm  ...,vi,so,Google Help,da
google,www.google.com.vn,Google,Nghệ thuật và văn hóa · Google Ads · Podcasts · Sản phẩm khác của Google. Google. BÁO CÁO THÔNG TIN NÀY. HỦY. OK. XÓA. Cài đặtCài đặt tìm kiếmTìm  ...,vi,so,Google Video,et
google,www.google.com.vn,Google,Nghệ thuật và văn hóa · Google Ads · Podcasts · Sản phẩm khác của Google. Google. BÁO CÁO THÔNG TIN NÀY. HỦY. OK. XÓA. Cài đặtCài đặt tìm kiếmTìm  ...,vi,so,Gmail,fi
google,www.google.com.vn,Google,Nghệ thuật và văn hóa · Google Ads · Podcasts · Sản phẩm khác của Google. Google. BÁO CÁO THÔNG TIN NÀY. HỦY. OK. XÓA. Cài đặtCài đặt tìm kiếmTìm  ...,vi,so,Account settings: Your browser is not supported.,en
google,www.google.com.vn,Google,Nghệ thuật và văn hóa · Google Ads · Podcasts · Sản phẩm khác của Google. Google. BÁO CÁO THÔNG TIN NÀY. HỦY. OK. XÓA. Cài đặtCài đặt tìm kiếmTìm  ...,vi,so,  Google Translate ,af
google,www.google.com.vn,Google,Nghệ thuật và văn hóa · Google Ads · Podcasts · Sản phẩm khác của Google. Google. BÁO CÁO THÔNG TIN NÀY. HỦY. OK. XÓA. Cài đặtCài đặt tìm kiếmTìm  ...,vi,so,"
      Google Ads - Thu hút nhiều khách hàng hơn bằng giải pháp quảng cáo trực tuyến đơn giản
    ",vi
google,www.google.com.vn,Google,Nghệ thuật và văn hóa · Google Ads · Podcasts · Sản phẩm khác của Google. Google. BÁO CÁO THÔNG TIN NÀY. HỦY. OK. XÓA. Cài đặtCài đặt tìm kiếmTìm  ...,vi,so,Đăng nhập - Tài khoản Google,vi
google,www.google.com.vn,Google,Nghệ thuật và văn hóa · Google Ads · Podcasts · Sản phẩm khác của Google. Google. BÁO CÁO THÔNG TIN NÀY. HỦY. OK. XÓA. Cài đặtCài đặt tìm kiếmTìm  ...,vi,so,Google,cy
google,www.google.com.vn,Google,Nghệ thuật và văn hóa · Google Ads · Podcasts · Sản phẩm khác của Google. Google. BÁO CÁO THÔNG TIN NÀY. HỦY. OK. XÓA. Cài đặtCài đặt tìm kiếmTìm  ...,vi,so,Google,cy
google,www.google.com.vn,Google,Nghệ thuật và văn hóa · Google Ads · Podcasts · Sản phẩm khác của Google. Google. BÁO CÁO THÔNG TIN NÀY. HỦY. OK. XÓA. Cài đặtCài đặt tìm kiếmTìm  ...,vi,so,Google Analytics,en
google,www.google.com.vn,Google,Nghệ thuật và văn hóa · Google Ads · Podcasts · Sản phẩm khác của Google. Google. BÁO CÁO THÔNG TIN NÀY. HỦY. OK. XÓA. Cài đặtCài đặt tìm kiếmTìm  ...,vi,so,Google,cy
google,www.google.com.vn,Google,Nghệ thuật và văn hóa · Google Ads · Podcasts · Sản phẩm khác của Google. Google. BÁO CÁO THÔNG TIN NÀY. HỦY. OK. XÓA. Cài đặtCài đặt tìm kiếmTìm  ...,vi,so,Google Developers,nl
google,www.google.com.vn,Google,Nghệ thuật và văn hóa · Google Ads · Podcasts · Sản phẩm khác của Google. Google. BÁO CÁO THÔNG TIN NÀY. HỦY. OK. XÓA. Cài đặtCài đặt tìm kiếmTìm  ...,vi,so,Google Marketing Platform - Unified Advertising and Analytics,en
google,www.google.com.vn,Google,Nghệ thuật và văn hóa · Google Ads · Podcasts · Sản phẩm khác của Google. Google. BÁO CÁO THÔNG TIN NÀY. HỦY. OK. XÓA. Cài đặtCài đặt tìm kiếmTìm  ...,vi,so,Firebase,id
google,www.google.com.vn,Google,Nghệ thuật và văn hóa · Google Ads · Podcasts · Sản phẩm khác của Google. Google. BÁO CÁO THÔNG TIN NÀY. HỦY. OK. XÓA. Cài đặtCài đặt tìm kiếmTìm  ...,vi,so,Google Play,en
google,www.google.com.vn,Google,Nghệ thuật và văn hóa · Google Ads · Podcasts · Sản phẩm khác của Google. Google. BÁO CÁO THÔNG TIN NÀY. HỦY. OK. XÓA. Cài đặtCài đặt tìm kiếmTìm  ...,vi,so,Welcome to My Activity,en
google,www.google.com.vn,Google,Nghệ thuật và văn hóa · Google Ads · Podcasts · Sản phẩm khác của Google. Google. BÁO CÁO THÔNG TIN NÀY. HỦY. OK. XÓA. Cài đặtCài đặt tìm kiếmTìm  ...,vi,so,"
      Google User Experience Research
    ",en
google,translate.google.com,Google Dịch,"Dịch vụ miễn phí của Google dịch nhanh các từ, cụm từ và trang web giữa tiếng Việt và hơn 100 ngôn ngữ khác.",vi,vi,Google Analytics,en
google,translate.google.com,Google Dịch,"Dịch vụ miễn phí của Google dịch nhanh các từ, cụm từ và trang web giữa tiếng Việt và hơn 100 ngôn ngữ khác.",vi,vi,Google Help,da
google,translate.google.com,Google Dịch,"Dịch vụ miễn phí của Google dịch nhanh các từ, cụm từ và trang web giữa tiếng Việt và hơn 100 ngôn ngữ khác.",vi,vi,Google Video,et
google,translate.google.com,Google Dịch,"Dịch vụ miễn phí của Google dịch nhanh các từ, cụm từ và trang web giữa tiếng Việt và hơn 100 ngôn ngữ khác.",vi,vi,Gmail,fi
google,translate.google.com,Google Dịch,"Dịch vụ miễn phí của Google dịch nhanh các từ, cụm từ và trang web giữa tiếng Việt và hơn 100 ngôn ngữ khác.",vi,vi,Account settings: Your browser is not supported.,en
google,translate.google.com,Google Dịch,"Dịch vụ miễn phí của Google dịch nhanh các từ, cụm từ và trang web giữa tiếng Việt và hơn 100 ngôn ngữ khác.",vi,vi,  Google Translate ,af
google,translate.google.com,Google Dịch,"Dịch vụ miễn phí của Google dịch nhanh các từ, cụm từ và trang web giữa tiếng Việt và hơn 100 ngôn ngữ khác.",vi,vi,"
      Google Ads - Thu hút nhiều khách hàng hơn bằng giải pháp quảng cáo trực tuyến đơn giản
    ",vi
google,translate.google.com,Google Dịch,"Dịch vụ miễn phí của Google dịch nhanh các từ, cụm từ và trang web giữa tiếng Việt và hơn 100 ngôn ngữ khác.",vi,vi,Đăng nhập - Tài khoản Google,vi
google,translate.google.com,Google Dịch,"Dịch vụ miễn phí của Google dịch nhanh các từ, cụm từ và trang web giữa tiếng Việt và hơn 100 ngôn ngữ khác.",vi,vi,Google,cy
google,translate.google.com,Google Dịch,"Dịch vụ miễn phí của Google dịch nhanh các từ, cụm từ và trang web giữa tiếng Việt và hơn 100 ngôn ngữ khác.",vi,vi,Google,cy
google,translate.google.com,Google Dịch,"Dịch vụ miễn phí của Google dịch nhanh các từ, cụm từ và trang web giữa tiếng Việt và hơn 100 ngôn ngữ khác.",vi,vi,Google Analytics,en
google,translate.google.com,Google Dịch,"Dịch vụ miễn phí của Google dịch nhanh các từ, cụm từ và trang web giữa tiếng Việt và hơn 100 ngôn ngữ khác.",vi,vi,Google,cy
google,translate.google.com,Google Dịch,"Dịch vụ miễn phí của Google dịch nhanh các từ, cụm từ và trang web giữa tiếng Việt và hơn 100 ngôn ngữ khác.",vi,vi,Google Developers,nl
google,translate.google.com,Google Dịch,"Dịch vụ miễn phí của Google dịch nhanh các từ, cụm từ và trang web giữa tiếng Việt và hơn 100 ngôn ngữ khác.",vi,vi,Google Marketing Platform - Unified Advertising and Analytics,en
google,translate.google.com,Google Dịch,"Dịch vụ miễn phí của Google dịch nhanh các từ, cụm từ và trang web giữa tiếng Việt và hơn 100 ngôn ngữ khác.",vi,vi,Firebase,id
google,translate.google.com,Google Dịch,"Dịch vụ miễn phí của Google dịch nhanh các từ, cụm từ và trang web giữa tiếng Việt và hơn 100 ngôn ngữ khác.",vi,vi,Google Play,en
google,translate.google.com,Google Dịch,"Dịch vụ miễn phí của Google dịch nhanh các từ, cụm từ và trang web giữa tiếng Việt và hơn 100 ngôn ngữ khác.",vi,vi,Welcome to My Activity,en
google,translate.google.com,Google Dịch,"Dịch vụ miễn phí của Google dịch nhanh các từ, cụm từ và trang web giữa tiếng Việt và hơn 100 ngôn ngữ khác.",vi,vi,"
      Google User Experience Research
    ",en
google,www.google.com.co,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",en,so,Google Analytics,en
google,www.google.com.co,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",en,so,Google Help,da
google,www.google.com.co,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",en,so,Google Video,et
google,www.google.com.co,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",en,so,Gmail,fi
google,www.google.com.co,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",en,so,Account settings: Your browser is not supported.,en
google,www.google.com.co,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",en,so,  Google Translate ,af
google,www.google.com.co,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",en,so,"
      Google Ads - Thu hút nhiều khách hàng hơn bằng giải pháp quảng cáo trực tuyến đơn giản
    ",vi
google,www.google.com.co,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",en,so,Đăng nhập - Tài khoản Google,vi
google,www.google.com.co,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",en,so,Google,cy
google,www.google.com.co,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",en,so,Google,cy
google,www.google.com.co,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",en,so,Google Analytics,en
google,www.google.com.co,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",en,so,Google,cy
google,www.google.com.co,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",en,so,Google Developers,nl
google,www.google.com.co,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",en,so,Google Marketing Platform - Unified Advertising and Analytics,en
google,www.google.com.co,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",en,so,Firebase,id
google,www.google.com.co,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",en,so,Google Play,en
google,www.google.com.co,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",en,so,Welcome to My Activity,en
google,www.google.com.co,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",en,so,"
      Google User Experience Research
    ",en
google,myaccount.google.com,Tài khoản Google,"Khi đăng nhập vào Tài khoản Google, bạn có thể xem và quản lý thông tin, hoạt động, các tùy chọn bảo mật, và các tùy chọn quyền riêng tư của mình để giúp ...",vi,vi,Google Analytics,en
google,myaccount.google.com,Tài khoản Google,"Khi đăng nhập vào Tài khoản Google, bạn có thể xem và quản lý thông tin, hoạt động, các tùy chọn bảo mật, và các tùy chọn quyền riêng tư của mình để giúp ...",vi,vi,Google Help,da
google,myaccount.google.com,Tài khoản Google,"Khi đăng nhập vào Tài khoản Google, bạn có thể xem và quản lý thông tin, hoạt động, các tùy chọn bảo mật, và các tùy chọn quyền riêng tư của mình để giúp ...",vi,vi,Google Video,et
google,myaccount.google.com,Tài khoản Google,"Khi đăng nhập vào Tài khoản Google, bạn có thể xem và quản lý thông tin, hoạt động, các tùy chọn bảo mật, và các tùy chọn quyền riêng tư của mình để giúp ...",vi,vi,Gmail,fi
google,myaccount.google.com,Tài khoản Google,"Khi đăng nhập vào Tài khoản Google, bạn có thể xem và quản lý thông tin, hoạt động, các tùy chọn bảo mật, và các tùy chọn quyền riêng tư của mình để giúp ...",vi,vi,Account settings: Your browser is not supported.,en
google,myaccount.google.com,Tài khoản Google,"Khi đăng nhập vào Tài khoản Google, bạn có thể xem và quản lý thông tin, hoạt động, các tùy chọn bảo mật, và các tùy chọn quyền riêng tư của mình để giúp ...",vi,vi,  Google Translate ,af
google,myaccount.google.com,Tài khoản Google,"Khi đăng nhập vào Tài khoản Google, bạn có thể xem và quản lý thông tin, hoạt động, các tùy chọn bảo mật, và các tùy chọn quyền riêng tư của mình để giúp ...",vi,vi,"
      Google Ads - Thu hút nhiều khách hàng hơn bằng giải pháp quảng cáo trực tuyến đơn giản
    ",vi
google,myaccount.google.com,Tài khoản Google,"Khi đăng nhập vào Tài khoản Google, bạn có thể xem và quản lý thông tin, hoạt động, các tùy chọn bảo mật, và các tùy chọn quyền riêng tư của mình để giúp ...",vi,vi,Đăng nhập - Tài khoản Google,vi
google,myaccount.google.com,Tài khoản Google,"Khi đăng nhập vào Tài khoản Google, bạn có thể xem và quản lý thông tin, hoạt động, các tùy chọn bảo mật, và các tùy chọn quyền riêng tư của mình để giúp ...",vi,vi,Google,cy
google,myaccount.google.com,Tài khoản Google,"Khi đăng nhập vào Tài khoản Google, bạn có thể xem và quản lý thông tin, hoạt động, các tùy chọn bảo mật, và các tùy chọn quyền riêng tư của mình để giúp ...",vi,vi,Google,cy
google,myaccount.google.com,Tài khoản Google,"Khi đăng nhập vào Tài khoản Google, bạn có thể xem và quản lý thông tin, hoạt động, các tùy chọn bảo mật, và các tùy chọn quyền riêng tư của mình để giúp ...",vi,vi,Google Analytics,en
google,myaccount.google.com,Tài khoản Google,"Khi đăng nhập vào Tài khoản Google, bạn có thể xem và quản lý thông tin, hoạt động, các tùy chọn bảo mật, và các tùy chọn quyền riêng tư của mình để giúp ...",vi,vi,Google,cy
google,myaccount.google.com,Tài khoản Google,"Khi đăng nhập vào Tài khoản Google, bạn có thể xem và quản lý thông tin, hoạt động, các tùy chọn bảo mật, và các tùy chọn quyền riêng tư của mình để giúp ...",vi,vi,Google Developers,nl
google,myaccount.google.com,Tài khoản Google,"Khi đăng nhập vào Tài khoản Google, bạn có thể xem và quản lý thông tin, hoạt động, các tùy chọn bảo mật, và các tùy chọn quyền riêng tư của mình để giúp ...",vi,vi,Google Marketing Platform - Unified Advertising and Analytics,en
google,myaccount.google.com,Tài khoản Google,"Khi đăng nhập vào Tài khoản Google, bạn có thể xem và quản lý thông tin, hoạt động, các tùy chọn bảo mật, và các tùy chọn quyền riêng tư của mình để giúp ...",vi,vi,Firebase,id
google,myaccount.google.com,Tài khoản Google,"Khi đăng nhập vào Tài khoản Google, bạn có thể xem và quản lý thông tin, hoạt động, các tùy chọn bảo mật, và các tùy chọn quyền riêng tư của mình để giúp ...",vi,vi,Google Play,en
